epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,411.308,0.67056,0.83604,1,0.56868,0.00162911,0.000543038,0.00162911,0.000543038,0.00162911,0.000543038,0.00162911,0.000543038
2,807.878,0.41309,0.99377,1,0.18319,0.00313296,0.00104432,0.00313296,0.00104432,0.00313296,0.00104432,0.00313296,0.00104432
3,1193.95,0.15631,0.99412,1,0.03225,0.00447177,0.00149059,0.00447177,0.00149059,0.00447177,0.00149059,0.00447177,0.00149059
4,1581.81,0.05163,0.99723,1,0.01143,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,1949.5,0.02369,0.99689,1,0.00705,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,2325.39,0.01347,0.99965,1,0.00312,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,2690.87,0.0098,1,1,0.00174,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,3080.05,0.00696,1,1,0.00109,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,3438.06,0.00673,1,1,0.00052,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,3819.65,0.00556,1,1,0.00041,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,4219.22,0.00473,1,1,0.00031,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,4604.21,0.00487,1,1,0.00029,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,4979.25,0.00447,1,1,0.0003,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,5341.46,0.00445,1,1,0.00029,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,5726.11,0.0041,1,1,0.00026,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
